Price,Brand,Processor Generation,Processor Type,Processor Speed,Installed RAM,SSD,Graphic Series,Screen Resolution,TouchScreen,Color,Weight,Finger Print Reader,Backlit keyboard,LAN
294999,Acer,RYZEN 7,AMD RYZEN 7,5.1,16,512,NVIDIA GeForce RTX 4050,16,No,Unknown,2.44,No,Yes,Yes
287000,Acer,14th Generation,Intel Core i9,2.2,16,1024,RTX 4060,1920x1200,No,Black,2.8,No,Yes,Yes
385000,Acer,13th Generation,Intel Core i5,2.1,8,512,RTX 4050,1920x1080,No,Black,4.66,No,Yes,Yes
106900,Acer,13th Generation,Intel Core i5,2.1,8,512,RTX 4050,1920x1080,No,Black,4.66,No,Yes,Yes
228000,Acer,14th Generation,Intel Core i9,2.2,16,1024,RTX 4060,1920x1200,No,Black,2.8,No,Yes,Yes
218000,Acer,13th Generation,Intel Core i5,2.1,8,512,RTX 4050,1920x1080,No,Black,4.66,No,Yes,Yes
174900,Acer,13th Generation,Intel Core i5,2.1,8,512,RTX 4050,1920x1080,No,Black,4.66,No,Yes,Yes
245000,Acer,13th Generation,Intel Core i5,2.1,8,512,RTX 4050,1920x1080,No,Black,4.66,No,Yes,Yes
102900,Acer,13th Generation,Intel Core i5,2.1,8,512,RTX 4050,1920x1080,No,Black,4.66,No,Yes,Yes
119900,Acer,13th Generation,Intel Core i5,2.1,8,512,RTX 4050,1920x1080,No,Black,4.66,No,Yes,Yes
454999,Acer, Ultra 9,Intel Core Ultra,5.4,32,1024,Nvidia RTX 4060 GDDR6,2560x1600,No,Unknown,2.7,No,Yes,Yes
974998,Acer,14th Generation,Core i9,2.2,64,2048,NVIDIA GeForce RTX 4090 GDDR6,2560x1600,No,Unknown,3.2,No,Yes,Yes
530000,Acer,14th Generation,Core i9,5.4,16,1024,Nvidia RTX 4070 GDDR6,2560x1600,No,Unknown,2.7,No,Yes,Yes
699999,Acer,14th Generation,Core i9,2.2,32,1024,NVIDIA GeForce RTX 4080 GDDR6,2560x1600,No,Unknown,2.5,No,Yes,Yes
339999,Acer,13th Generation,Core i9,4.6,16,512,Nvidia RTX 4060 GDDR6,1920x1080,No,Unknown,2.11,No,Yes,Yes
417999,Acer,14th Generation,Core i9,5.4,16,1024,Nvidia RTX 4060 GDDR6,2560x1600,No,Unknown,2.7,No,Yes,Yes
464999,Acer, Ultra 9,Intel Core Ultra,5.4,32,1024,Nvidia RTX 4060 GDDR6,2560x1600,No,Unknown,2.7,No,Yes,Yes
329999,Acer,RYZEN 7,AMD RYZEN 7,5.1,16,512,NVIDIA GeForce RTX 4060,16,No,Unknown,2.44,No,Yes,Yes
319999,Acer,13th Generation,Core i7,4.9,16,512,Nvidia RTX 4060 GDDR6,1920x1080,No,Unknown,2.11,No,Yes,Yes
332999,Asus,13th Generation,Core i7,4.9,16,512,NVIDIA RTX 3050,1920x1080,No,Unknown,1.8,No,No,Yes
194999,Asus, Ultra 5,Intel Core Ultra,4.6,8,512,Unknown,12.29x8.66x0.59,No,Unknown,1.27,Yes,No,Yes
352999,Asus,RYZEN 7,AMD RYZEN 7,5.1,16,1024,AMD Radeon Graphics,29.62x1.09,No,Unknown,1.65,Yes,No,Yes
399999,Asus, Ultra 7,Core Ultra,4.8,16,1024,Intel Arc Graphics,29.62x1.09,No,Unknown,1.65,Yes,No,Yes
559999,Asus, Ultra 7,Core Ultra,4.8,16,1024,Intel Arc Graphics,31.35x21.79x1.461.99,No,Unknown,1.65,Yes,No,Yes
114900,Asus,AMD,AMD Ryzen™ ,4.9,16,512,AMD Radeon,1920x1080,Yes,White,608.0,Yes,No,No
137900,Asus,12th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,Yes,Black,1.61,No,No,Yes
122999,Asus,13th Generation,Core i3,1.2,4,512,Intel Iris Xe Graphics,35.97x23.25x1.791.79,No,Pike Silver,1.7,Yes,Yes,Yes
203999,Asus,AMD,AMD Ryzen™ ,4.9,16,512,AMD Radeon,1920x1080,Yes,White,608.0,Yes,No,No
749000,Asus,12th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,1.69,Yes,Yes,Yes
106900,Asus,AMD,AMD Ryzen 9 ,4.0,16,1024,RTX 4050,1920x1080,No,Blue,1.8,No,No,No
144900,Asus,12th Generation,Intel Core i7,1.7,16,512,Intel Iris Xe Graphics,1920x1080,Yes,Black,1.67,Yes,No,Yes
100000,Asus, Ultra 9,Core Ultra,5.1,32,1024,Intel Arc Graphics,35.36x24.69x1.391.59,No,Silver,1.5,Yes,Yes,Yes
279999,Asus, Ultra 7,Intel Core Ultra,4.6,16,1024,Unknown,12.29x8.66x0.59,No,Unknown,1.27,Yes,No,Yes
364999,Asus, Ultra 7,Core Ultra,5.1,16,1024,NVIDIA GeForce RTX 4050,1920x1080,No,Natural Silver,1.8,Yes,Yes,No
344999,Asus,13th Generation,Core i9,5.4,16,1024,NVIDIA RTX 3050,2880x1620,No,Unknown,1.8,Yes,Yes,Yes
644999,Asus,14th Generation,Core i9,5.8,16,1024,NVIDIA GeForce RTX4070,2560x1600,No,Unknown,2.5,No,Yes,Yes
524999,Asus,14th Generation,Core i9,5.8,16,2048,NVIDIA GeForce RTX4060,1920x1200,No,Unknown,2.5,No,Yes,Yes
489999,Asus,13th Generation,Core i9,5.8,16,1024,NVIDIA GeForce RTX4060,1920x1200,No,Black,2.5,No,Yes,Yes
594999,Asus,14th Generation,Core i9,5.8,16,1024,NVIDIA GeForce RTX4060,2560x1600,No,Graphite,2.5,No,Yes,Yes
486999,Asus,Ryzen 9,AMD Ryzen 9,5.2,16,1024,NVIDIA GeForce RTX 4060 GDDR6,2560x1440,No,Natural silver,2.79,Yes,Yes,Yes
759999,Asus,13th Generation,Core i9,5.6,16,1024,NVIDIA GeForce RTX4080,2560x1600,No,Silver,3.0,Yes,Yes,Yes
100000,Asus,13th Generation,Core i9,5.6,16,1024,NVIDIA GeForce RTX4070,2560x1600,No,Silver,3.0,Yes,Yes,Yes
339999,Asus, Ultra 7,Core Ultra,4.8,16,1024,NVIDIA GeForce RTX 3050,1920x1080,No,Unknown,1.9,Yes,Yes,No
479999,Asus,13th Generation,Core i7,4.9,16,2048,NVIDIA GeForce RTX 4060,2560x1600,No,Warm Gold,3.0,Yes,Yes,Yes
629999,Asus,14th Generation,Core i9,5.8,16,1024,NVIDIA GeForce RTX4060,2560x1600,No,Unknown,3.0,Yes,Yes,Yes
203999,Asus,14th Generation,Intel Core Ultra 7 155u Processor,1.7,16,1024,RTX 4050,2880x1620,No,Silver,1.8,No,Yes,Yes
351999,Asus,13th Generation,Core i7,4.9,16,512,Nvidia RTX 4050 GDDR6,1920x1080,No,Silver,2.2,Yes,Yes,Yes
406999,Asus,13th Generation,Core i7,4.9,16,512,NVIDIA GeForce RTX 4060 GDDR6,1920x1080,No,Pike Silver Aluminum,2.2,Yes,Yes,Yes
379999,Asus,13th Generation,Core i7,4.9,16,512,NVIDIA GeForce RTX 4060 GDDR6,1920x1080,No,Pike Silver Aluminum,2.2,Yes,Yes,Yes
347999,Asus,Ryzen 9,AMD Ryzen 9,5.2,16,1024,Nvidia RTX 4050 GDDR6,2880x1620,No,Natural Silver,1.8,No,Yes,No
252999,Asus,12th Generation,Intel Core i5,4.5,16,512,NVIDIA RTX3050,1920x1080,No,Silver,2.3,Yes,Yes,Yes
334999,Asus,Ryzen 9,AMD Ryzen 9,5.2,16,1024,Nvidia RTX 4050 GDDR6,2880x1620,No,Unknown,1.8,No,Yes,No
389999,Asus,13th Generation,Core i7,4.9,16,512,NVIDIA GeForce RTX 4060 GDDR6,1920x1200,No,Pike Silver Aluminum,2.27,No,Yes,Yes
234999,Asus,Ryzen 5,AMD Ryzen 5,4.55,8,512,Nvidia RTX 3050 GDDR6,1920x1080,No,Silver,2.3,Yes,Yes,Yes
396999,Asus,13th Generation,Core i7,5.0,16,512,NVIDIA GeForce RTX 4060 GDDR6,1920x1080,No,Pike Silver Aluminum,2.6,No,Yes,Yes
344999,Asus,Ryzen 9,AMD Ryzen 9,5.2,16,1024,Nvidia RTX 4050 GDDR6,1920x1080,No,Pike Silver Aluminum,1.8,No,Yes,No
205000,Dell,12th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
385000,Dell,12th Generation,Intel Core i3,1.2,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
228900,Dell,13th Generation,Intel Core i9,2.2,16,1024,RTX 4060,2560x1600,No,Silver,6.3,No,No,Yes
245000,Dell,12th Generation,Intel Core i3,1.2,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
244900,Dell,12th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
270000,Dell,13th Generation,Intel Core i7,3.6,16,1024,RTX 4060,1920x1080,No,Grey,2.81,No,Yes,Yes
224900,Dell,13th Generation,Intel Core i7,3.6,16,1024,RTX 4060,1920x1080,No,Grey,2.81,No,Yes,Yes
108900,Dell,13th Generation,Intel Core i7,3.6,16,1024,RTX 4060,1920x1080,No,Grey,2.81,No,Yes,Yes
119900,Dell,13th Generation,Intel Core i5,1.3,8,256,Intel Iris Xe Graphics,1920x1080,No,Black,3.99,Yes,Yes,No
136900,Dell,13th Generation,Intel Core i7,3.6,16,1024,RTX 4060,1920x1080,No,Grey,2.81,No,Yes,Yes
174900,Dell,13th Generation,Intel Core i7,3.6,16,1024,RTX 4060,1920x1080,No,Grey,2.81,No,Yes,Yes
166900,Dell,12th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
159900,Dell,12th Generation,Intel Core i3,1.2,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
559000,Dell,12th Generation,Intel Core i3,1.2,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
749000,Dell,12th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
799000,Dell,13th Generation,Intel Core i5,1.3,8,256,Intel Iris Xe Graphics,1920x1080,Yes,Grey,2.75,No,No,No
899000,Dell,12th Generation,Intel Core i3,1.2,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
100000,Dell,12th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
102900,Dell,13th Generation,Intel Core i7,3.6,16,1024,RTX 4060,1920x1080,No,Grey,2.81,No,Yes,Yes
109900,Dell,13th Generation,Intel Core i5,1.3,8,512,Intel UHD Graphics,1920x1080,No,Silver,1.63,No,Yes,No
219900,Dell,13th Generation,Intel Core i7,1.7,16,512,Intel Iris Xe Graphics,1920x1080,No,Black,4.28,Yes,Yes,Yes
106900,Dell,12th Generation,Intel Core i3,1.2,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
287000,Dell,13th Generation,Intel Core i9,2.2,16,1024,RTX 4060,2560x1600,No,Silver,6.3,No,No,Yes
245000,Dell,12th Generation,Intel Core i7,1.1,16,512,Intel Iris Xe Graphics,1920x1200,No,Sky Color,2.59,Yes,No,No
112900,Dell,12th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Black,3.65,No,Yes,Yes
122900,Dell,13th Generation,Intel Core i7,3.6,16,1024,RTX 4060,1920x1080,No,Grey,2.81,No,Yes,Yes
254999,Dell,13th Generation,Core i7,5.0,8,512,Intel Iris Xe Graphics,0,No,Unknown,1.61,No,No,Yes
144999,Dell,13th Generation,Core i5,1.3,16,512,Intel Iris Xe Graphics,0,No,Unknown,1.94,No,No,Yes
179999,Dell,13th Generation,Core i7,4.6,16,512,Intel Iris Xe Graphics,14.11x0.83x9.27,No,Unknown,1.65,No,No,Yes
104999,Dell,12th Generation,Core i3,4.4,8,512,Intel UHD Graphics,0,No,Unknown,1.66,No,No,Yes
369999,Dell,Unknown,Intel Core i7,5.2,16,512,Intel Iris Xe Graphics,31.30x22.27x1.82,Yes,Unknown,1.67,No,No,Yes
422999,Dell, Ultra 7,Intel Core Ultra,4.8,16,512,Intel Arc Graphics,: 15.3(0.60,No,Unknown,1.17,No,Yes,No
404999,Dell, Ultra 7,Intel Core Ultra,4.8,16,512,SSD,0,Yes,Unknown,1.67,No,No,No
167999,Dell,13th Generation,Core i5,4.6,8,256,Intel Iris Xe Graphics,0,No,Unknown,1.61,No,No,Yes
166999,Dell,Unknown,Intel Core i5,4.4,8,256,Intel Iris Xe Graphics,0,No,Unknown,1.59,No,No,Yes
232999,Dell,12th Generation,Core i5,4.4,16,256,SSD,0,Yes,Unknown,1.67,Yes,No,No
354999,Dell,13th Generation,Core i7,5.0,8,512,Intel Iris Xe Graphics,0,No,Storm Grey,1.36,Yes,No,Yes
133999,Dell,12th Generation,Core i5,4.4,8,512,Intel Iris Xe Graphics,0,No,Unknown,1.66,No,No,Yes
169999,Dell,Unknown,Intel Core i5,4.6,8,1024,Intel Iris Xe Graphics,0,No,Black,1.53,Yes,No,Yes
479999,Dell,13th Generation,Core i9,5.4,32,1024,NVIDIA GeForce RTX 4060 GDDR6,2560x1600,No,Grey,2.87,Yes,Yes,Yes
514999,Dell,13th Generation,Core i9,5.4,16,1024,NVIDIA GeForce RTX 4070 GDDR6,2560x1600,No,Arctic Grey,2.87,Yes,Yes,Yes
159999,Dell,13th Generation,Core i5,4.6,8,512,Intel UHD Graphics,0,No,Black,1.63,Yes,Yes,Yes
164999,Dell,12th Generation,Core i7,4.7,8,512,Intel UHD Graphics,0,No,Unknown,1.66,No,No,Yes
859999,Dell,13th Generation,Core i9,5.4,32,1024,SSD,0,Yes,Unknown,16.0,Yes,No,No
529999,Dell, Ultra 7,Intel Core Ultra,1.4,32,1024,NVIDIA GeForce RTX 4070 GDDR6,2560x1600,No,Unknown,1.02,Yes,Yes,Yes
579999,Dell, Ultra 9,Intel Core Ultra,2.3,16,1024,NVIDIA GeForce RTX 4060 GDDR6,2560x1600,No,Unknown,1.02,Yes,Yes,Yes
339999,Dell,13th Generation,Core i7,4.9,16,512,Nvidia RTX 4060 GDDR6,1920x1080,No,Unknown,2.81,Yes,Yes,Yes
226900,Hp,13th Generation,Intel Core i9,2.2,16,1024,RTX 4060,1920x1080,No,Black,5.24,No,No,Yes
160000,Hp,13th Generation,Intel Core i3,1.2,4,256,Intel UHD Graphics,1920x1080,No,Silver,1.59,No,Yes,No
183499,Hp,13th Generation,Core i7,5.0,8,512,SSD,16:9,Yes,Unknown,1.67,No,No,Yes
156999,Hp,13th Generation,Intel Core i5,4.6,8,512,Intel Iris Xe Graphics,0,No,Unknown,1.59,No,Yes,Yes
170000,Hp,13th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Silver,1.52,No,Yes,No
174900,Hp,12th Generation,Intel Core i5,2.0,8,512,RTX 3050,1920x1080,No,Black,5.06,No,Yes,Yes
208000,Hp,12th Generation,Intel Core i5,2.0,8,512,RTX 3050,1920x1080,No,Black,5.06,No,Yes,Yes
206900,Hp,13th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Silver,1.52,No,Yes,No
122999,Hp,Unknown,Intel Core i3,3.8,8,512,Intel UHD Graphics,35.98x23.6x1.86,No,Unknown,1.59,No,No,Yes
